HMDB_ID,Match to inchikey1,Match to inchikey,Name,Pubchem_ID,KEGG_ID,ChEBI_ID,CAS,InchiKey,SMILES,InchiKey,InchiKey1,In MML or resource,BASF,Bowes-44,Tox21,AOP Wiki,CTD,IPA,T3DB,Publications,Resource coverage (%),HMDB disease,IPA Toxicity function,AOP Wiki AO,Publication AO,AO source coverage (%),IPA pathway,KEGG pathway,Reactome pathway,PathBank pathway,Pathway source coverage (%),"Total coverage score, %",In S1500+ pathways,S1500+ consistency score,Assay availability,Standard availability,Measurement feasibility score
HMDB0000056,,,beta-Alanine,239,C00099,16958,107-95-9,UCMIRNVEIXFBKS-UHFFFAOYSA-N,NCCC(O)=O,UCMIRNVEIXFBKS-UHFFFAOYSA-N,UCMIRNVEIXFBKS,MML,,,,,,Yes,Yes,,25,Yes,,,,25,Yes,Yes,Yes,Yes,100,50,KEGG/Reactome,1,0,1,1
HMDB0000012,MXHRCPNRJAMMIM,MXHRCPNRJAMMIM-SHYZEUOFSA-N,Deoxyuridine,13712,C00526,16450,951-78-0,MXHRCPNRJAMMIM-SHYZEUOFSA-N,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,MXHRCPNRJAMMIM-SHYZEUOFSA-N,MXHRCPNRJAMMIM,MML,,,Yes,,,,,Yes,25,Yes,,,,25,Yes,Yes,Yes,Yes,100,50,KEGG/Reactome,1,1,1,2
HMDB0000226,PXQPEWDEAKTCGB,PXQPEWDEAKTCGB-UHFFFAOYSA-N,Orotic acid,967,C00295,16742,65-86-1,PXQPEWDEAKTCGB-UHFFFAOYSA-N,OC(=O)C1=CC(=O)NC(=O)N1,PXQPEWDEAKTCGB-UHFFFAOYSA-N,PXQPEWDEAKTCGB,MML,,,,,,,Yes,Yes,25,Yes,,,,25,Yes,Yes,Yes,Yes,100,50,KEGG/Reactome,1,1,1,2
HMDB0000806,TUNFSRHWOTWDNC,TUNFSRHWOTWDNC-UHFFFAOYSA-N,Myristic acid,11005,C06424,28875,544-63-8,TUNFSRHWOTWDNC-UHFFFAOYSA-N,CCCCCCCCCCCCCC(O)=O,TUNFSRHWOTWDNC-UHFFFAOYSA-N,TUNFSRHWOTWDNC,MML,Yes,,,,,,Yes,,25,Yes,Yes,,,50,,Yes,Yes,Yes,75,50,Reactome,1,1,1,2
HMDB0001403,,,Prostaglandin D2,448457,C00696,15555,###############################################################################################################################################################################################################################################################,BHMBVRSPMRCCGG-OUTUXVNYSA-N,[H][C@](O)(CCCCC)\C=C\[C@@]1([H])C(=O)C[C@]([H])(O)[C@]1([H])C\C=C/CCCC(O)=O,BHMBVRSPMRCCGG-OUTUXVNYSA-N,BHMBVRSPMRCCGG,MML,,,,,Yes,,,Yes,25,Yes,,,,25,Yes,Yes,Yes,Yes,100,50,KEGG/Reactome,1,1,1,2
HMDB0000121,OVBPIULPVIDEAO,OVBPIULPVIDEAO-LBPRGKRZSA-N,Folic acid,6037,C00504,27470,59-30-3,OVBPIULPVIDEAO-LBPRGKRZSA-N,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,OVBPIULPVIDEAO,MML,,,,,Yes,,Yes,,25,Yes,Yes,,,50,,Yes,Yes,Yes,75,50,KEGG/Reactome,1,1,1,2
HMDB0000812,OTCCIMWXFLJLIA,OTCCIMWXFLJLIA-BYPYZUCNSA-N,N-Acetyl-L-aspartic acid,65065,C01042,21547,997-55-7,OTCCIMWXFLJLIA-BYPYZUCNSA-N,CC(=O)N[C@@H](CC(O)=O)C(O)=O,OTCCIMWXFLJLIA-BYPYZUCNSA-N,OTCCIMWXFLJLIA,MML,,,,,,,Yes,Yes,25,Yes,,,Yes,50,,Yes,Yes,Yes,75,50,KEGG/Reactome,1,1,1,2
HMDB0001229,,,Dopaquinone,439316,C00822,16852,,AHMIDUVKSGCHAU-LURJTMIESA-N,N[C@@H](CC1=CC(=O)C(=O)C=C1)C(O)=O,AHMIDUVKSGCHAU-LURJTMIESA-N,AHMIDUVKSGCHAU,MML,,,,Yes,,,,Yes,25,,,,Yes,25,Yes,Yes,Yes,Yes,100,50,KEGG/Reactome,1,1,1,2
HMDB0001373,KDTSHFARGAKYJN,,Dephospho-CoA,439335,C00882,15468,3633-59-8,KDTSHFARGAKYJN-DRCCLKDXSA-N,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS,KDTSHFARGAKYJN-DRCCLKDXSA-N,KDTSHFARGAKYJN,Publications,,,,,,,,Yes,12.5,,,,Yes,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,1,1,2
HMDB0000319,,,18-Hydroxycorticosterone,11222,C01124,16485,561-65-9,HFSXHZZDNDGLQN-ZVIOFETBSA-N,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(CO)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,HFSXHZZDNDGLQN-ZVIOFETBSA-N,HFSXHZZDNDGLQN,MML,,,,,,,Yes,,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,0,1,1
HMDB0000570,,,Coproporphyrin III,,C05770,27609,14643-66-4,JWFCYWSMNRLXLX-UJJXFSCMSA-N,CC1=C(CCC(O)=O)/C2=C/C3=N/C(=C\C4=C(C)C(CCC(O)=O)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(C)=C4CCC(O)=O)/C(CCC(O)=O)=C3C,JWFCYWSMNRLXLX-UJJXFSCMSA-N,JWFCYWSMNRLXLX,MML,,,,,Yes,,Yes,Yes,37.5,Yes,,,Yes,50,,Yes,,Yes,50,45.8,KEGG,1,1,1,2
HMDB0003876,JSFATNQSLKRBCI,,15(S)-HETE,5280724,C04742,15558,54845-95-3,JSFATNQSLKRBCI-VAEKSGALSA-N,CCCCC[C@H](O)\C=C\C=C/C\C=C/C\C=C/CCCC(O)=O,JSFATNQSLKRBCI-VAEKSGALSA-N,JSFATNQSLKRBCI,MML,,,,,Yes,,,,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG,1,1,1,2
HMDB0000797,NAQGHJTUZRHGAC,NAQGHJTUZRHGAC-ZZZDFHIKSA-N,SAICAR,160666,C04823,18319,3031-95-6,NAQGHJTUZRHGAC-ZZZDFHIKSA-N,NC1=C(N=CN1[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O)C(=O)N[C@@H](CC(O)=O)C(O)=O,NAQGHJTUZRHGAC-ZZZDFHIKSA-N,NAQGHJTUZRHGAC,MML,,,,,,,Yes,,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,0,1,1
HMDB0000127,AEMOLEFTQBMNLQ,AEMOLEFTQBMNLQ-WAXACMCWSA-N,D-Glucuronic acid,444791,C00191,42717,207300-70-7,AEMOLEFTQBMNLQ-WAXACMCWSA-N,O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O,AEMOLEFTQBMNLQ-WAXACMCWSA-N,AEMOLEFTQBMNLQ,MML,Yes,,,,,Yes,,Yes,37.5,,,,,0,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,1,1,2
HMDB0000089,UHDGCWIWMRVCDJ,UHDGCWIWMRVCDJ-XVFCMESISA-N,Cytidine,6253,C00475,17562,65-46-3,UHDGCWIWMRVCDJ-XVFCMESISA-N,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,UHDGCWIWMRVCDJ-XVFCMESISA-N,UHDGCWIWMRVCDJ,MML,,,,,,,,Yes,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,1,1,2
HMDB0001252,,,Betaine aldehyde,249,C00576,15710,7418-61-3,SXKNCCSPZDCRFD-UHFFFAOYSA-N,C[N+](C)(C)CC=O,SXKNCCSPZDCRFD-UHFFFAOYSA-N,SXKNCCSPZDCRFD,Publications,,,,,,,,Yes,12.5,,,,Yes,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,1,1,2
HMDB0000630,OPTASPLRGRRNAP,OPTASPLRGRRNAP-UHFFFAOYSA-N,Cytosine,597,C00380,16040,71-30-7,OPTASPLRGRRNAP-UHFFFAOYSA-N,NC1=CC=NC(=O)N1,OPTASPLRGRRNAP-UHFFFAOYSA-N,OPTASPLRGRRNAP,MML,Yes,,,,,Yes,,Yes,37.5,Yes,,,,25,Yes,Yes,Yes,,75,45.8,KEGG/Reactome,1,1,1,2
HMDB0001487,,,NADH,928,C00004,16908,606-68-8,BOPGDPNILDQYTO-NNYOXOHSSA-N,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,BOPGDPNILDQYTO-NNYOXOHSSA-N,BOPGDPNILDQYTO,MML,,,,,,Yes,,,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,0,1,1
HMDB0000221,ACFIXJIJDZMPPO,,NADPH,22833512,C00005,16474,2646-71-1,ACFIXJIJDZMPPO-NCHANQSKSA-N,NC(=O)C1=CN(C=CC1)[C@H]1O[C@@H](COP(O)(=O)OP(O)(=O)OC[C@@H]2O[C@@H]([C@@H](OP(O)(O)=O)[C@H]2O)N2C=NC3=C(N)N=CN=C23)[C@H](O)[C@@H]1O,ACFIXJIJDZMPPO-NCHANQSKSA-N,ACFIXJIJDZMPPO,MML,,,,,,Yes,,,12.5,,Yes,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,0,1,1
HMDB0000217,,,NADP,5886,C00006,18009,53-59-8,XJLXINKUBYWONI-NNYOXOHSSA-O,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,XJLXINKUBYWONI-NNYOXOHSSA-O,XJLXINKUBYWONI,MML,,,,,,Yes,,,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,0,1,1
HMDB0001206,,,Acetyl-CoA,444493,C00024,15351,72-89-9,ZSLZBFCDCINBPY-ZSJPKINUSA-N,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,ZSLZBFCDCINBPY-ZSJPKINUSA-N,ZSLZBFCDCINBPY,MML,,,,,,Yes,,,12.5,,Yes,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,0,1,1
HMDB0000207,ZQPPMHVWECSIRJ,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,Oleic acid,445639,C00712,16196,112-80-1,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,CCCCCCCC\C=C/CCCCCCCC(O)=O,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,ZQPPMHVWECSIRJ,MML,Yes,,,,,,Yes,Yes,37.5,Yes,Yes,,,50,,Yes,Yes,,50,45.8,KEGG/Reactome,1,1,1,2
HMDB0001999,JAZBEHYOTPTENJ,JAZBEHYOTPTENJ-JLNKQSITSA-N,Eicosapentaenoic acid,446284,C06428,28364,10417-94-4,JAZBEHYOTPTENJ-JLNKQSITSA-N,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,JAZBEHYOTPTENJ-JLNKQSITSA-N,JAZBEHYOTPTENJ,MML,,,,,,,,Yes,12.5,Yes,,,Yes,50,,Yes,Yes,Yes,75,45.8,KEGG/Reactome,1,1,1,2
HMDB0001401,NBSCHQHZLSJFNQ,NBSCHQHZLSJFNQ-GASJEMHNSA-N,Glucose 6-phosphate,5958,C00092,4170,54010-71-8,NBSCHQHZLSJFNQ-GASJEMHNSA-N,OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O,NBSCHQHZLSJFNQ-GASJEMHNSA-N,NBSCHQHZLSJFNQ,MML,,,,,,,,Yes,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,1,1,2
HMDB0000071,VGONTNSXDCQUGY,VGONTNSXDCQUGY-RRKCRQDMSA-N,Deoxyinosine,65058,C05512,28997,84828-85-3,VGONTNSXDCQUGY-RRKCRQDMSA-N,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O,VGONTNSXDCQUGY-RRKCRQDMSA-N,VGONTNSXDCQUGY,MML,,,,,,,,Yes,12.5,Yes,,,Yes,50,,Yes,Yes,Yes,75,45.8,KEGG/Reactome,1,1,1,2
HMDB0002226,TWSWSIQAPQLDBP,TWSWSIQAPQLDBP-DOFZRALJSA-N,Adrenic acid,5497181,C16527,53487,28874-58-0,TWSWSIQAPQLDBP-DOFZRALJSA-N,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(O)=O,TWSWSIQAPQLDBP-DOFZRALJSA-N,TWSWSIQAPQLDBP,MML,,,,,,,,Yes,12.5,Yes,,,Yes,50,,Yes,Yes,Yes,75,45.8,KEGG/Reactome,1,1,1,2
HMDB0003911,QCHPKSFMDHPSNR,QCHPKSFMDHPSNR-UHFFFAOYSA-N,3-Aminoisobutanoic acid,64956,C05145,27389,144-90-1,QCHPKSFMDHPSNR-UHFFFAOYSA-N,CC(CN)C(O)=O,QCHPKSFMDHPSNR-UHFFFAOYSA-N,QCHPKSFMDHPSNR,MML,,,,,,,,Yes,12.5,Yes,Yes,,Yes,75,Yes,,,Yes,50,45.8,,0,1,1,2
HMDB0000017,HXACOUQIXZGNBF,HXACOUQIXZGNBF-UHFFFAOYSA-N,4-Pyridoxic acid,6723,C00847,17405,82-82-6,HXACOUQIXZGNBF-UHFFFAOYSA-N,CC1=NC=C(CO)C(C(O)=O)=C1O,HXACOUQIXZGNBF-UHFFFAOYSA-N,HXACOUQIXZGNBF,MML,,,,,,,,Yes,12.5,Yes,,,Yes,50,,Yes,Yes,Yes,75,45.8,Reactome,1,1,1,2
HMDB0000965,,,Hypotaurine,107812,C00519,16668,300-84-5,VVIUBCNYACGLLV-UHFFFAOYSA-N,NCCS(O)=O,VVIUBCNYACGLLV-UHFFFAOYSA-N,VVIUBCNYACGLLV,MML,,,,,,,,Yes,12.5,,,,Yes,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,1,1,2
HMDB0000229,DAYLJWODMCOQEW,DAYLJWODMCOQEW-TURQNECASA-N,Nicotinamide ribotide,14180,C00455,16171,1094-61-7,DAYLJWODMCOQEW-TURQNECASA-N,NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O,DAYLJWODMCOQEW-TURQNECASA-N,DAYLJWODMCOQEW,MML,,,,,,,,Yes,12.5,Yes,,,Yes,50,Yes,Yes,,Yes,75,45.8,KEGG,1,1,1,2
HMDB0000022,,,3-Methoxytyramine,1669,C05587,742324,1477-68-5,DIVQKHQLANKJQO-UHFFFAOYSA-N,COC1=C(O)C=CC(CCN)=C1,DIVQKHQLANKJQO-UHFFFAOYSA-N,DIVQKHQLANKJQO,MML,,,,,Yes,,,,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,1,1,2
HMDB0000039,,,Butyric acid,264,C00246,30772,156-54-7,FERIUCNNQQJTOY-UHFFFAOYSA-N,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,FERIUCNNQQJTOY,MML,,,,,,,Yes,,12.5,Yes,Yes,,,50,,Yes,Yes,Yes,75,45.8,KEGG/Reactome,1,0,1,1
HMDB0000283,,,D-Ribose,5779,C00121,47013,50-69-1,HMFHBZSHGGEWLO-SOOFDHNKSA-N,OC[C@H]1OC(O)[C@H](O)[C@@H]1O,HMFHBZSHGGEWLO-SOOFDHNKSA-N,HMFHBZSHGGEWLO,MML,,,,,,,,Yes,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,1,1,2
HMDB0000695,,,Ketoleucine,70,C00233,48430,4502-00-5,BKAJNAXTPSGJCU-UHFFFAOYSA-N,CC(C)CC(=O)C(O)=O,BKAJNAXTPSGJCU-UHFFFAOYSA-N,BKAJNAXTPSGJCU,MML,Yes,,,,,,Yes,Yes,37.5,Yes,,,,25,Yes,Yes,,Yes,75,45.8,KEGG,1,1,1,2
HMDB0001389,,,Melatonin,896,C01598,16796,73-31-4,DRLFMBDRBRZALE-UHFFFAOYSA-N,COC1=CC=C2NC=C(CCNC(C)=O)C2=C1,DRLFMBDRBRZALE-UHFFFAOYSA-N,DRLFMBDRBRZALE,MML,,,,,,,Yes,,12.5,,Yes,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,0,1,1
HMDB0001238,,,N-Acetylserotonin,903,C00978,17697,1210-83-9,MVAWJSIDNICKHF-UHFFFAOYSA-N,CC(=O)NCCC1=CNC2=C1C=C(O)C=C2,MVAWJSIDNICKHF-UHFFFAOYSA-N,MVAWJSIDNICKHF,MML,,,,,Yes,,,,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,1,1,2
HMDB0000225,,,Oxoadipic acid,71,C00322,15753,3184-35-8,FGSBNBBHOZHUBO-UHFFFAOYSA-N,OC(=O)CCCC(=O)C(O)=O,FGSBNBBHOZHUBO-UHFFFAOYSA-N,FGSBNBBHOZHUBO,MML,,,,,,,Yes,,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,0,1,1
HMDB0001545,RADKZDMFGJYCBB,RADKZDMFGJYCBB-UHFFFAOYSA-N,Pyridoxal,1050,C00250,17310,65-22-5,RADKZDMFGJYCBB-UHFFFAOYSA-N,CC1=NC=C(CO)C(C=O)=C1O,RADKZDMFGJYCBB-UHFFFAOYSA-N,RADKZDMFGJYCBB,MML,,,,,,,,Yes,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,Reactome,1,1,1,2
HMDB0000164,,,Methylamine,6329,C00218,16830,3767-37-1,BAVYZALUXZFZLV-UHFFFAOYSA-N,CN,BAVYZALUXZFZLV-UHFFFAOYSA-N,BAVYZALUXZFZLV,MML,,,,,,,Yes,,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,Reactome,1,0,1,1
HMDB0000223,KHPXUQMNIQBQEV,,Oxalacetic acid,970,C00036,30744,328-42-7,KHPXUQMNIQBQEV-UHFFFAOYSA-N,OC(=O)CC(=O)C(O)=O,KHPXUQMNIQBQEV-UHFFFAOYSA-N,KHPXUQMNIQBQEV,MML,,,,,,,,Yes,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,1,1,2
HMDB0000301,LOIYMIARKYCTBW,LOIYMIARKYCTBW-OWOJBTEDSA-N,Urocanic acid,736715,C00785,30817,104-98-3,LOIYMIARKYCTBW-OWOJBTEDSA-N,OC(=O)\C=C\C1=CNC=N1,LOIYMIARKYCTBW-OWOJBTEDSA-N,LOIYMIARKYCTBW,MML,,,,,,,,Yes,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,1,1,2
HMDB0000130,,,Homogentisic acid,780,C00544,44747,451-13-8,IGMNYECMUMZDDF-UHFFFAOYSA-N,OC(=O)CC1=C(O)C=CC(O)=C1,IGMNYECMUMZDDF-UHFFFAOYSA-N,IGMNYECMUMZDDF,MML,,,,,,,Yes,,12.5,Yes,Yes,,,50,Yes,Yes,,Yes,75,45.8,KEGG,1,0,1,1
HMDB0000190,JVTAAEKCZFNVCJ,JVTAAEKCZFNVCJ-REOHCLBHSA-N,L-Lactic acid,61503,C00186,422,79-33-4,JVTAAEKCZFNVCJ-REOHCLBHSA-N,C[C@H](O)C(O)=O,JVTAAEKCZFNVCJ-REOHCLBHSA-N,JVTAAEKCZFNVCJ,MML,,,,,,,Yes,,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,0,1,1
HMDB0001256,,,Spermine,1103,C00750,15746,306-67-2,PFNFFQXMRSDOHW-UHFFFAOYSA-N,NCCCNCCCCNCCCN,PFNFFQXMRSDOHW-UHFFFAOYSA-N,PFNFFQXMRSDOHW,MML,,,,,,,Yes,,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,0,1,1
HMDB0001488,PVNIIMVLHYAWGP,PVNIIMVLHYAWGP-UHFFFAOYSA-N,Nicotinic acid,938,C00253,15940,59-67-6,PVNIIMVLHYAWGP-UHFFFAOYSA-N,OC(=O)C1=CN=CC=C1,PVNIIMVLHYAWGP-UHFFFAOYSA-N,PVNIIMVLHYAWGP,MML,,,,,,,Yes,,12.5,Yes,Yes,,,50,,Yes,Yes,Yes,75,45.8,KEGG/Reactome,1,0,1,1
HMDB0001870,WPYMKLBDIGXBTP,WPYMKLBDIGXBTP-UHFFFAOYSA-N,Benzoic acid,243,C00180,30746,65-85-0,WPYMKLBDIGXBTP-UHFFFAOYSA-N,OC(=O)C1=CC=CC=C1,WPYMKLBDIGXBTP-UHFFFAOYSA-N,WPYMKLBDIGXBTP,MML,,,,,Yes,,Yes,Yes,37.5,Yes,Yes,,,50,,Yes,Yes,,50,45.8,KEGG/Reactome,1,1,1,2
HMDB0000482,WWZKQHOCKIZLMA,WWZKQHOCKIZLMA-UHFFFAOYSA-N,Caprylic acid,379,C06423,28837,0124-07-02,WWZKQHOCKIZLMA-UHFFFAOYSA-N,CCCCCCCC(O)=O,WWZKQHOCKIZLMA-UHFFFAOYSA-N,WWZKQHOCKIZLMA,MML,,,,,,,Yes,,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,Reactome,1,0,1,1
HMDB0000092,FFDGPVCHZBVARC,FFDGPVCHZBVARC-UHFFFAOYSA-N,Dimethylglycine,673,C01026,17724,1118-68-9,FFDGPVCHZBVARC-UHFFFAOYSA-N,CN(C)CC(O)=O,FFDGPVCHZBVARC-UHFFFAOYSA-N,FFDGPVCHZBVARC,MML,,,,,,,,Yes,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,1,1,2
HMDB0000205,,,Phenylpyruvic acid,997,C00166,30851,0156-06-09,BTNMPGBKDVTSJY-UHFFFAOYSA-N,OC(=O)C(=O)CC1=CC=CC=C1,BTNMPGBKDVTSJY-UHFFFAOYSA-N,BTNMPGBKDVTSJY,MML,,,,,,,,Yes,12.5,Yes,,,Yes,50,Yes,Yes,,Yes,75,45.8,KEGG,1,1,1,2
HMDB0000119,,,Glyoxylic acid,760,C00048,16891,563-96-2,HHLFWLYXYJOTON-UHFFFAOYSA-N,OC(=O)C=O,HHLFWLYXYJOTON-UHFFFAOYSA-N,HHLFWLYXYJOTON,MML,,,,,,,Yes,,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,0,1,1
HMDB0000142,,,Formic acid,284,C00058,30751,540-69-2,BDAGIHXWWSANSR-UHFFFAOYSA-N,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,BDAGIHXWWSANSR,MML,,,,,,,,Yes,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,1,1,2
HMDB0000076,OIVLITBTBDPEFK,OIVLITBTBDPEFK-UHFFFAOYSA-N,Dihydrouracil,649,C00429,15901,0504-07-04,OIVLITBTBDPEFK-UHFFFAOYSA-N,O=C1CCNC(=O)N1,OIVLITBTBDPEFK-UHFFFAOYSA-N,OIVLITBTBDPEFK,MML,,,,,,,Yes,,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,0,1,1
HMDB0000026,,,Ureidopropionic acid,111,C02642,18261,462-88-4,JSJWCHRYRHKBBW-UHFFFAOYSA-N,NC(=O)NCCC(O)=O,JSJWCHRYRHKBBW-UHFFFAOYSA-N,JSJWCHRYRHKBBW,MML,,,,,,,,Yes,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,1,1,2
HMDB0000306,DZGWFCGJZKJUFP,DZGWFCGJZKJUFP-UHFFFAOYSA-N,Tyramine,5610,C00483,15760,51-67-2,DZGWFCGJZKJUFP-UHFFFAOYSA-N,NCCC1=CC=C(O)C=C1,DZGWFCGJZKJUFP-UHFFFAOYSA-N,DZGWFCGJZKJUFP,MML,,,,,,,Yes,,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,0,1,1
HMDB0000744,BJEPYKJPYRNKOW,BJEPYKJPYRNKOW-UHFFFAOYSA-N,Malic acid,525,C00711,6650,124501-05-9,BJEPYKJPYRNKOW-UHFFFAOYSA-N,OC(CC(O)=O)C(O)=O,BJEPYKJPYRNKOW-UHFFFAOYSA-N,BJEPYKJPYRNKOW,MML,Yes,,Yes,,,,,Yes,37.5,Yes,Yes,,,50,Yes,,,Yes,50,45.8,,0,1,1,2
HMDB0001191,,,Deoxyuridine triphosphate,65070,C00460,17625,102814-08-4,AHCYMLUZIRLXAA-SHYZEUOFSA-N,O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O,AHCYMLUZIRLXAA-SHYZEUOFSA-N,AHCYMLUZIRLXAA,MML,,,,,,,Yes,,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,0,1,1
HMDB0003073,VZCCETWTMQHEPK,VZCCETWTMQHEPK-QNEBEIHSSA-N,Gamma-Linolenic acid,5280933,C06426,28661,506-26-3,VZCCETWTMQHEPK-QNEBEIHSSA-N,CCCCC\C=C/C\C=C/C\C=C/CCCCC(O)=O,VZCCETWTMQHEPK-QNEBEIHSSA-N,VZCCETWTMQHEPK,MML,Yes,,,,,,,,12.5,Yes,Yes,,,50,,Yes,Yes,Yes,75,45.8,KEGG/Reactome,1,1,1,2
HMDB0001149,,,5-Aminolevulinic acid,137,C00430,17549,1297222,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,NCC(=O)CCC(O)=O,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,ZGXJTSGNIOSYLO,MML,,,,,,,Yes,,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,0,1,1
HMDB0001248,VWWQXMAJTJZDQX,,FAD,643975,C00016,16238,84366-81-4,VWWQXMAJTJZDQX-UYBVJOGSSA-N,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)CO[P@](O)(=O)O[P@@](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2,VWWQXMAJTJZDQX-UYBVJOGSSA-N,VWWQXMAJTJZDQX,MML,,,,,,Yes,,,12.5,Yes,,,,25,Yes,Yes,Yes,Yes,100,45.8,KEGG/Reactome,1,0,1,1
